postac_a,postac_b,sila_relacji
"62.
                         
                         
                         
                                             TED HENDRICKS",TED HENDRICKS,1
"61.
                         
                         
                         
                                             ODESSA",WALTER,1
"61.
                         
                         
                         
                                             ODESSA",ODESSA,1
"KLIPSPRINGER
                         
                         KOOFIYAD
                         
                         FAKR AD-D",WALTER,1
"KLIPSPRINGER
                         
                         KOOFIYAD
                         
                         FAKR AD-D",ODESSA,1
"60.
                         
                         
                         
                                               WALTER",WALTER,1
"60.
                         
                         
                         
                                               WALTER",ODESSA,1
"60.
                         
                         
                         
                                               WALTER","KLIPSPRINGER
                         
                         KOOFIYAD
                         
                         FAKR AD-D",1
RETIREMENT HOME ADMINISTRATOR,WALTER,1
BILLING DIRECTOR,WALTER,1
BILLING DIRECTOR,RETIREMENT HOME ADMINISTRATOR,1
"62.
                         
                         
                         
                                             TED HENDRICKS",WALTER,1
"36.
                         
                         
                         
                                             POSTAL CLERK",POSTAL CLERK,1
BOAT CAPTAIN,WALTER,1
BOAT CAPTAIN,CAPTAIN,1
"35.
                         
                         
                         
                                             BOAT CAPTAIN",WALTER,1
"35.
                         
                         
                         
                                             BOAT CAPTAIN",CAPTAIN,1
"35.
                         
                         
                         
                                             BOAT CAPTAIN",BOAT CAPTAIN,1
"34.
                         
                         
                         
                                             WALTER",WALTER,1
"34.
                         
                         
                         
                                             WALTER",CAB DRIVER,1
"33.
                         
                         
                         
                                             CAB DRIVER",WALTER,1
"33.
                         
                         
                         
                                             CAB DRIVER",CAB DRIVER,1
TEEN,WALTER,1
"45.
                         
                         
                         
                                             WALTER",ENGLIGH SPEAKING CHILEAN SAILOR,1
"32.
                         
                         
                         
                                             SECOND TEEN",TEEN,1
"30.
                         
                         
                         
                                                WALTER",WALTER,1
"30.
                         
                         
                         
                                                WALTER",HERNANDO,1
EDNA,HERNANDO,1
TED HENDRICKS COLLEAGUE,TIM NAUGHTON,1
EDNA,TIM NAUGHTON,1
EDNA,TED HENDRICKS COLLEAGUE,1
EDNA,TED HENDRICKS,1
EDITOR,TIM NAUGHTON,1
EDITOR,TED HENDRICKS COLLEAGUE,1
EDITOR,EDNA,1
"32.
                         
                         
                         
                                             SECOND TEEN",WALTER,1
"45.
                         
                         
                         
                                             WALTER",CHILEAN SAILOR,1
"45.
                         
                         
                         
                                             WALTER","46.
                         
                              ENGLIGH SPEAKING CHILEAN SAILOR",1
SECOND BACK SEAT CHILEAN,WALTER,1
